,Continent,Organisation,Operating in,Response,Provided,Document / Page,area (ha),start (year),duration,define_success (Y/N),define-notes (direct extract),define-classification,SMT,monitor (Y/N),monitor-notes (direct extract),monitor-classification,evaluate (Y/N),evaluate-notes (direct extract),evaluate-classification,Notes
57,Global / Multi Continent,Mossy Earth,"US, Argentina, Namibia, Madagascar, São Tomé and Príncipe, The Selvagens Islands,Portugal, Spain, Italy, Coatia, Bosnia and Herzegovina,Slovakia, Romania, Ireland, Scotland,",YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://mossyearth.cdn.prismic.io/mossyearth/ZkTUGyol0Zci9K_u_MembershipQuarterlyReportQ12024.pdf

https://www.mossy.earth/methodologies/conservation-evidence",NA,2017,8,YES,"Documents - To be suitable, the project must aim to achieve one or more of these objectives that are central to rewilding:
Restore biodiversity and/or abundance of native species
Restore key ecosystem processes (e.g., flooding, migration, herbivory, predation)
Improve habitat integrity and connectivity
Protect unique and threatened ecosystems and species
","Diversity
Ecosystem
Habitat structure",M,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document - Monitoring for American mink is one of the measures in place to protect reintroduced voles from their main predatory threat.

Also included within the management plan is the monitoring strategy. This includes details about how and when monitoring activities will take place to find if project outcomes are being achieved. However, the type and extent of monitoring varies widely from project to project. In some cases baseline surveys and ongoing monitoring are needed to inform the intervention itself while in other cases monitoring is only required to evaluate the success of the project. In each case, we have to compare the value of the information we obtain through a monitoring activity against the impact we could achieve if we allocated the same funds elsewhere. Achieving this balance is no easy task but, broadly speaking, the extent of monitoring should increase as:
The uncertainty around the effectiveness of the intervention increases. In these cases, fewer assumptions can be made about expected outcomes and a more thorough monitoring approach is likely to generate information which could be of benefit to similar projects in the future.
The budget increases leading to greater financial risk. 
The probability for unintended consequences is high because of ecological or social risk(s).
The need for monitoring to inform decisions increases (adaptive management).

eDNA is an incredibly valuable tool in monitoring the impact of some of our rewilding projects. It captures data that would otherwise be challenging to collect. We work with specialist organisations such as NatureMetrics.

We are also using drones to create high resolution maps that can provide very useful information about the ecosystems we are working to restore. For example, we have used them to monitor plants in hard to access locations, 

Advances in technology, such as drones, satellite monitoring, artificial intelligence (AI), and environmental DNA (eDNA) analysis, offer great potential for enhancing our ability to gather data cost-effectively. Drones and satellite monitoring provide valuable tools for mapping and monitoring ecosystems at various scales, enabling us to collect spatially explicit data on habitat characteristics, species distributions, and landscape changes. AI algorithms can assist in processing and analyzing large datasets, identifying patterns, and making predictions, thereby accelerating our understanding of complex ecological systems. Furthermore, eDNA analysis allows us to detect the presence of species in environmental samples, offering a non-invasive and efficient method for biodiversity monitoring over time.
We are already using many of these tools in our projects and we expect they will become more important over time. 
","Aspirational (fieldwork, remote sensing , strategy)
Fieldwork
Remote sensing
DNA methods",YES,"Membership Report Q1 2024 - new members, £ raised, % money used for rewilding efforts, % money for running costs

Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.","Internal
Financial",
58,Global / Multi Continent,Re:wild,"USA, Canada, Mexico, Argentina, Brazil, CHile, Bolivia, Peru, Ecuador, Colombia, Suriname, Guyana, Uruguay, Venezuela, Costa Rica, Guatemala, Honduras, Belize, El Salvador, Nicaragua, Panama, UK, Spain, Portugal, Italy, Greece, Tunisia, Mauritania, Senegal, Ginea Bissau, Guinea, Liberia, Ivory Coast, Ghana, Burkina Fasso, Togo, Benin, Nigeria, Niger, Chad, Sudan, Ethiopia, Kenya, Uganda, South Sudan, Central African Republic, Republic of the COngo, DRC, Cameroon, Gabon, Tanzania, Mozambique, Zimbabwe, Zambia, Angola, Namibia, Botswana, South Africa, Mozambique, Madagascar, Kazakhstan, Mongolia, China, Pakistan, INdia, Nepal, Burma, Thailand, Laos, Vietnam, Cambodia, Philippines, Sri Lanka, Indonesia, Malaysia, Papua New Guinea, Australia, New Caledonia, New Zealand",NO,NA,https://downloads.ctfassets.net/tftu3vbfu92u/5PNRjRFdTipUvfNB7b4pMg/8ce402ba3f4b87cd73fa9aac2183cfe8/Rewild_Impact_Report_2023.pdf,228647387,2021,4,YES,"2030 Strategic Plan
We have four overaching goals.
Goal 1: Protect and restore the world's most irreplaceable places. Goal 2: Conserve and recover the world's most threatened species. Goal 3: Help embolden and equip the world's conservation guardians. Goal 4: Build a global movement to catalyze action at scale.

These goals are supported by ten targets:
Creating New Conservation Areas: Enable the official designation of protected and conserved areas and recognition of Indigenous Peoples’ territories in 400 million acres of the most important places for biodiversity.
Managing Areas for Conservation Impact: Carry out targeted interventions that lead to more effective and equitable management in 100 million acres of the most important places for biodiversity.
Recovering Species: Support the recovery of 500 priority species and contribute to conservation efforts for an additional 50,000 species.
Restoring Ecosystems and Species: Enable the recovery and restoration of 10 million acres of critical ecosystems and 200 priority species in the most important places for biodiversity across the globe.
Cultivating Conservation Leaders: Collaborate with over 50 partner organizations in at least 25 countries to further strengthen their ability to deliver high-impact conservation results.
Supporting Delivery of National Commitments to Global Targets: Support 25 countries to identify threatened species and Key Biodiversity Areas to help achieve their Global Biodiversity Framework targets.
Funding Indigenous Peoples and Local Communities Directly: Channel at least 20% of Re:wild’s land and water conservation funding portfolio directly to Indigenous Peoples, as well as local communities.
Building a Movement: Create and promote stories that will have an Annual Potential Reach of 15 billion, mobilizing a constituency of 1+ million people, resulting in global support for our conservation goals.
Advocating for Earth: Advocate on the major drivers of biodiversity loss to influence key stakeholders, resulting in positive changes for global conservation goals.
Scaling up Conservation Funding: Raise $100 million annually to support our programmatic work with partners and inspire commitments of at least $10 billion in global funding.","Habitat structure
Diversity
Species
Social
Ecosystem
Knowledge sharing
Other (finance)
Other (legal)",SMT,YES,"Population monitoring shows that the toad’s population, which was in decline, is now stabilizing.
In 2023, we supported classes and inter-island exchanges for 30 Caribbean nationals, on protected area planning, biosecurity, and wildlife monitoring, and taught 10 national partners how to facilitate action-planning workshops.
Specific objectives include enhancing monitoring and protection by local law enforcement, helping strengthen law enforcement agencies and the judiciary to mitigate poaching and trafficking,

In 2023, Re:wild and American Bird Conservancy led a team of 16 scientists, including 10 from Madagascar, to search for 30 Lost Species, including the Masoala Forkmarked Lemur, the chameleon Calumma vatosoa, and a species of rainbow fish. In addition, the team conducted traditional taxonomic survey inventories for amphibians, birds, fishes, reptiles, and select mammals and invertebrates, and evaluated distribution for the recently rediscovered Dusky Tetraka bird.
Seven lost species were rediscovered through the survey, which observed 130 vertebrate species, detected an additional 50 with eDNA analysis, and found a myriad of invertebrates, including an entirely new genus of spiders.","Fieldwork
DNA methods",YES,"Our Impact -
Acres in active conservation with partners, partners in more than 80 countries, new conservation areas being created, threatened species being conserved, species benefitting

In 2023, the results of the second Global Amphibian Assessment, a decade-long initiative, were published in Nature and the State of the World’s Amphibians report. More than 1,000 global experts assessed over 8,000 species, which showed that the conservation status of amphibians continues to decline, with 41% now threatened. To help focus and guide conservation efforts, Re:wild identified 50 Threatened Amphibian Landscapes that contain over 70% of all threatened amphibians.","Internal
Species",
59,North America,American Prairie Reserve,USA,NO,NA,"https://americanprairie.org/

https://americanprairie.org/the-latest/fall2024-fieldnotes/",55442,2001,24,YES,"Our mission is to create one of the largest nature reserves in the United States, a refuge for people and wildlife preserved forever as part of America’s heritage…Research and studies conducted by conservation biologists have determined that a mixed-grass prairie would need to be approximately 3.2 million acres (5,000 square miles) in size in order to be a fully functioning ecosystem complete with migration corridors, native wildlife, and natural processes. American Prairie will purchase approximately 700,000 acres of private lands that will stitch together millions of acres of existing public lands. Using the 1.1 million-acre Charles M. Russell National Wildlife Refuge as an anchor, the result will be a 3.2-million-acre prairie– 5,000 square miles of continuous land area roughly the size of Connecticut.",Habitat structure,SM,NO,NA,NA,NO,NA,NA,
60,North America,"Canadian Parks and Wilderness Society, CPAWS",Canada,NO,NA,"https://cpaws.org/wp-content/uploads/2021/08/cpaws-strategicplan-to2025-external.pdf

https://cpaws.org/wp-content/uploads/2022/06/cpaws_roadmapto2030_digital_v2.pdf

http://cpaws.org/wp-content/uploads/2021/06/cpaws-reportcard2021-web.pdf",50000000,1963,62,YES,"CPAWS strategic plan to 2025 
Our mission
CPAWS advocates for the effective, long-term protection of ecologically- and culturally-significant land, freshwater and ocean areas in Canada. Working in a way that respects the sovereignty and leadership of Indigenous nations, we achieve our mission through knowledge-based advocacy, and public education and engagement, underpinned by collaboration and partnership.
The Conservation Agenda 
Goal:: Influence the protection and effective management of at least 25% of land, freshwater and ocean by 2025 in networks of protected areas; plan for the protection of 30% by 2030 and beyond; and defend other ecologically-significant areas from harm. Objectives: A. Provide knowledge-based expertise through direct and meaningful engagement with decision-makers from all governments, industry, and communities. B. Support Indigenous leadership in conservation by prioritizing our work with Indigenous communities and encouraging other governments to engage in collaborative management approaches. C. Strengthen people’s appreciation of, and relationship with nature, with a focus on reaching diverse communities. D. Mobilize communities to advocate for conservation through increased education and outreach and amplify their related concerns to decision-makers. E. Collaborate with other partners, through joint initiatives with other conservation-focused groups, where this will leverage greater influence on shared objectives and amplify conservation priorities.","Habitat structure
Knowledge sharing
Social",SMT,NO,NA,NA,YES,"Grading criteria
Achievement of, or progress towards, Aichi Target 11/ Canada Target 1
2. Support for Indigenous-led conservation
3. Advancing effective management of protected areas

To assess the federal government’s contribution to the terrestrial target we evaluated its performance against amended criteria that reflect its responsibilities and limited jurisdiction over land management. These include: • Leading and convening governments and other interested parties; • Supporting Indigenous-led conservation; • Creating federal protected areas (e.g. under the Canada National Parks Act and Canada Wildlife Act) where agreed to by provincial, territorial, and Indigenous governments, and effectively managing these areas; • Funding conservation action, including by government and non-government partners; and • Championing ambitious conservation action in international forums and negotiations.","External
Social
Area",
61,North America,ICCF (International Conservation Caucus) Group,USA,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://internationalconservationfund.org/wp-content/uploads/2024/07/ICF-report-2023-for-web.pdf

https://internationalconservationfund.org/our-history/",NA,2019,6,YES,"OUR MISSION
To advance the long-term preservation of nature and biodiversity in the tropics and other priority areas worldwide.
Our mission is to support innovative and effective conservation efforts around the world. We look for work done by NGOs, community groups, and indigenous peoples that protects and sustains global biodiversity and ecosystems in perpetuity. We seek to magnify the impact that individual and business charitable support can have by pooling resources and directing them to well-managed and cost-effective international conservation projects.",Ecosystem,NO,NO,NA,NA,NO,NA,NA,
62,North America,NorthEast Wilderness Trust,USA,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://newildernesstrust.org/about/

https://issuu.com/newildernesstrust/docs/newt_2023_annual_report?fr=sM2MxMDcyNTg1Mjg",37231,2002,23,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

",Habitat structure,M,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document - camera traps","Fieldwork
Wildlife tracking",YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.
Impact (cumulative since 2002) - acres improved, designated, protected, transactions completed, camera hours logged, plots established, boundaries marked","Area
Internal",
63,North America,Rewild New Jersey Community Cooperative,USA,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,https://rewildnjcc.org/,NA,2022,3,YES,"Document - Movement Goals

Revolution
To increase localism, resiliency, & self-sufficiency. 
To build a thought culture that revamps our ideas of New Jersey as a place with valuable natural resources and human richness to motivate and inspire citizens into action.
To break down social, cultural, and political barriers that limit local pro-environmental behavior, resiliency, & self-sufficiency.

Transformation
To create an easy, accessible community-oriented framework that promotes real results for community rewilding by allowing any citizen to participate.
To build a thought culture that revamps our ideas of New Jersey as a place with valuable natural resources and human richness to motivate and inspire citizens into action.

Hope

Advocacy
To utilize the movement following to lobby State, County, and Local government agencies and organizations with the intent to increase social, legislative, and economic pathways for modern conservation strategies, land preservation, citizen incentives for ecological restoration, and more.
To utilize the movement following to increase representation for New Jersey on the regional, national, and international rewilding stage.
","Social
Other (legal)",NO,NO,Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.,"Aspirational (consultation, fieldwork)",NO,NA,NA,
64,North America,Rewilding America Now,USA,NO,NA,"https://www.rewildingamericanow.org/the-wild-horse
https://www.rewildingamericanow.org/birch-creek-valley",NA,2007,18,YES,"Our mission at Rewilding America Now is to conserve and restore North American landscapes by rewilding lost ecological processes and protecting key migration corridors. 
We work with a combination of public and private lands 
We are driven by empirical science, data and traditional ecological knowledge 
We are working towards creating a 130+ mile wildlife corridor to save tens of thousands of large herbivores and predators threatened by climate change and habitat fragmentation 
We are educating about rewilding through policy curriculum 
We are showcasing rotational grazing practices for sustainable and profitable agricultural and ranching models
Projects: 
Our goal is to promote a ""Rewilding Habitat"", a landscape with natural process functionality including wild horses and all native wildlife.  We will lead groundbreaking scientific research and rewilding education and build local businesses and tourism. 

Objectives
1. Reconnect the functionality of the Wildlife Corridor between the Yellowstone Ecosystem and Central Idaho.  2. Restore the functionality of the now diminished biotic community in the region by replacing non-native herbivores with those that evolved with the native flora of the region.  3. Foster a local economically stable enterprise.  4. Promote ecological science that is equitable and just and recognizes the contributions and rights of Native Americans in the region.

Through Traditional Ecological Knowledge (TEK), our project will deepen the connection between people, wild horses and buffalo, open up research on keystone species and prairie ecosystems, deliver education for Native American youth and effectuate healing and ceremony.","Ecosystem
Habitat structure
Knowledge sharing
Species
Social",SM,NO,NA,NA,YES,"Document - 
The wild horse maintains, protects and helps to rebuild environmental systems and allows other native species to thrive—all working to keep nature in balance. 

Rewilding America Now is working to understand and demonstrate the role of wild horses as keystone species in North America.
Rewilding America Now funded two groundbreaking environmental eDNA research papers from McMaster University. More field research is underway as Rewilding America Now helps to break down barriers in science and push the boundaries of knowledge.",Academic,"Start year from LinkedIn
https://www.linkedin.com/company/rewilding-america-now/about/"
65,North America,Southern Plains,USA,NO,NA,"https://southernplains.org/en/what-we-do/

https://southernplains.org/en/

https://southernplains.org/wp-content/uploads/2024/11/Annual-Report-2024.pdf",24552,1998,27,YES,"Our mission is to protect and restore the Southern Plains: America’s Serengeti.
Ultimately, we hope to create corridors for wildlife that support a natural processes such as animal migration throughout the entire Southern Plains region.
Our mission is to create and protect a network of shortgrass prairie preserves, which ensure a future for all native animals and plants. Our main program seeks to do just this, through the purchase of land or the acquisition of conservation easements.","Habitat structure
Ecosystem",M,YES,"In order to restore and protect the prairie to the best of our ability, we use a science-based approach. Our preserves have a minimal amount of human disturbance and are therefore a unique opportunity to study grasslands. It is necessary to know how much carbon is sequestered in a healthy ecosystem, and how the population of black-footed ferrets is growing - this will help many other conservation projects throughout the world.

Acoustic bat monitoring started in2024, camera monitoring system of bison",Wildlife tracking,YES,"acres owned in fee, acres of prairie protected, Miles of stream, Plague-free prairie dog colonies, Free-roaming bison, Black-footed ferrets introduced, Species of concern (IUCN) that inhabit our preserved, Miles of fence removed","Area
Internal
Species
External","Start year from Nature Needs Half https://natureneedshalf.org/who-we-are/members/southern-plains-land-trust/#:~:text=The%20Southern%20Plains%20Land%20Trust%20(SPLT)%20was%20founded%20in%201998,been%20at%20it%20ever%20since."
66,North America,Wyoming Wilderness Association,USA,NO,NA,https://www.wildwyo.org/,445154,1979,46,YES,"The mission of the Wyoming Wilderness Association (WWA) is to protect Wyoming public wildlands through advocacy, education, and stewardship. ",Social,NO,YES,"The Solitude Monitoring program, a partnership between the Wyoming Wilderness Association, federal agencies, and community members, trains local volunteers on this citizen science project. These volunteers collect data adhering to the Forest Service’s National Minimum Protocol for Monitoring Opportunities for Solitude. Solitude monitoring is a long-term game. It becomes stronger and more robust each year as quality data observations are added to its database. And, as owners of our public wildlands, we want to ensure federal agencies have the best information possible to inform future management actions. That’s where training comes in. In order to collect quality data that ultimately contributes to sound agency decisions, we need clear, standardized protocols to guide our collective efforts. ",Fieldwork,NO,NA,NA,
67,North America,Yellowstone to Yukon Conservation Initiative,USA,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://y2y.net/wp-content/uploads/2024/05/2023_ImpactReport_Final_Jun18_Web-Y2Y.pdf

https://y2y.net/who-we-are/

https://y2y.net/our-impact/

https://y2y.net/annual-reports-financials/

https://y2y.net/wp-content/uploads/2023/09/Y2Y_Strategic_Plan_Summary_2023_web_v7.pdf",NA,1993,32,YES,"Our plan (2023 – 2030) leverages global conservation commitments to protect 30% of land and sea by 2030, and builds on our successful strategies and partnerships that have kept this place wild.

PROTECT Protect 30 percent of the Yellowstone to Yukon region. Through your investment, we will advance protection of close to 20,000 km2 (49 million acres) of valuable habitat. Your investment will help: • Ensure that the 14 million acres of Indigenous-led protections committed to by governments, become officially designated protected areas • Secure commitments for another 35 million acres of Indigenous-led protected area proposals • Safeguarde existing protected areas so that they are maintained and well-managed into the future
CONNECT Safeguard four key wildlife corridors by restoring animal movement across the busiest roads and advancing private land conservation. Your partnership will maintain and restore corridors for wildlife so they can safely cross private land and busy roads to meet their needs. Here’s how: • Advance voluntary private land conservation in four key corridors in the southern Y2Y region through small but ecologically significant parcels totalling 40 km2 (10,000 acres) • Support the construction of wildlife overpasses and underpasses, which ensure safe crossing places for wildlife across four key busy highways in the US-Canada transboundary region • Progress policies, programs and funding that strengthen and sustain the conservation of ecological corridors for the future
COMMUNITIES Ensure communities incorporate tools and approaches that support what nature and people need at the Yellowstone to Yukon scale. Your support will help ensure cultures and systems within communities across the Y2Y region to be vibrant, inclusive and support nature conservation. Your gift will: • Improve recreation management to minimize impacts on nature while supporting people to enjoy the landscapes that they love • Create respectful and inclusive spaces that acknowledges, supports, and shares Indigenous knowledge, relationships, and cultural connections with the natural world • Help mountain communities understand, embrace, and adopt practices that promote co-existence between people and wildlife • Assist decision-makers to plan development that limits sprawl, prioritizes wildlife habitat connectivity, and supports communities that are in harmony with nature and social well-being","Habitat structure
Other (legal)
Social",SMT,YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document - Provided funds to build educator capacity to share ecological and cultural knowledge with on-the-land learning and water monitoring by tribal members of Nez Perce and Cayuse communities

Assisted in monitoring 11 wildlife underpasses on Highway 93 in Montana to see if grizzly bears are using these crossings and understand where collision hotspots are and how to improve landscape connectivity","Fieldwork
Wildlife tracking",YES,"Contact - Some information for this section was extracted from emails or interview notes and it has been removed for privacy reasons.

Document - highway crossings, finances allocated, number of partners, socio-economic analysis, mapping of trails etc, species recoveries","Academic
Financial
Internal
Species
Area",
68,Oceania,Bush Heritage Australia,Australia,NO,NA,"https://www.bushheritage.org.au/what-we-do/our-impact/annual-report

https://www.bushheritage.org.au/what-we-do/our-impact/measuring
https://www.bushheritage.org.au/what-we-do/our-impact/2030-strategy
https://www.bushheritage.org.au/?srsltid=AfmBOopFSiSdd2Dj0QOh_yb1o2nsia5hpra0DN8rcudiLPClAE-nhszD

https://www.bushheritage.org.au/what-we-do/our-impact/measuring/scorecards",1460000,1990,35,YES,"We intend to deepen and double our impact by 2030 – protecting, restoring and regenerating a total of 30 million hectares of land (an area larger than the state of Victoria).

With your help, we intend to:
Significantly scale up our national conservation innovation program to enable depth of impact across the landscapes we actively manage
Double the amount of land that we directly own and manage from 1.2 million hectares to 2.4 million hectares
Deepen our support of Aboriginal Partnerships through exploring, strengthening and growing our relationships with Aboriginal partners through a right-way approach
Work with farmers and other land managers to enhance biodiversity across over 10 million hectares of agricultural land towards a more sustainable future.","Habitat structure
Social
Diversity",SMT,YES,"Across our reserves we cycle through the five steps in our Conservation Management Process (below) to plan, manage, monitor, evaluate and adapt our conservation projects.
Assess
Define what ‘healthy Country’ looks like for a landscape.
Identify the species, habitats and cultural values that need to be managed and protected.
Identify threats to the health of the above.
Plan
Define the impact we want to have on target species, habitats and cultural values.
Identify the strategies and knowledge required to achieve this.
Confirm how we will monitor progress.
Implement
Identify the long-term resources required.
Prepare work plans and budgets, and implement on-ground activities in line with the plan.
Record data and report progress as activities are undertaken.
Share
Document and share results with others (internally and externally).
Communicate the impact that has been achieved, the actions taken, and the lessons learned.
Analyse & Adapt
Assess the progress being made towards the desired impact, and whether or not we are on track.
Adapt the plan if necessary to make our work more effective.
This process is informed by global best practice and draws heavily on the Open Standards for the Practice of Conservation (Conservation Standards). 
We use strategic indicators to consistently review and evaluate our progress. This sharpens our decision-making and helps us adapt our land management practices

On an annual basis, we measure progress at three levels:
Outputs (Strategy implementation) Are we implementing the plan as expected?
Outcomes (Threats) Are we implementing our strategies effectively and are threats reducing?
Impacts (Targets) Is target health improving?
Every 5-10 years we prepare detailed scorecards to tell us if the health of our conservation targets has improved over time. (poor, fair, good, very good)

Science helps us identify conservation targets most in need of protection. Biodiversity surveys help provide knowledge of species and ecosystems to ensure we can manage them effectively.",Fieldwork,YES,"Across our reserves we cycle through the five steps in our Conservation Management Process (below) to plan, manage, monitor, evaluate and adapt our conservation projects.
Assess
Define what ‘healthy Country’ looks like for a landscape.
Identify the species, habitats and cultural values that need to be managed and protected.
Identify threats to the health of the above.
Plan
Define the impact we want to have on target species, habitats and cultural values.
Identify the strategies and knowledge required to achieve this.
Confirm how we will monitor progress.
Implement
Identify the long-term resources required.
Prepare work plans and budgets, and implement on-ground activities in line with the plan.
Record data and report progress as activities are undertaken.
Share
Document and share results with others (internally and externally).
Communicate the impact that has been achieved, the actions taken, and the lessons learned.
Analyse & Adapt
Assess the progress being made towards the desired impact, and whether or not we are on track.
Adapt the plan if necessary to make our work more effective.
This process is informed by global best practice and draws heavily on the Open Standards for the Practice of Conservation (Conservation Standards). 
We use strategic indicators to consistently review and evaluate our progress. This sharpens our decision-making and helps us adapt our land management practices

Hectares protected and managed, new reserves, projects, scientific publications, partnerships, feral animal management programs, weed management strategies, events run, trips supported, early career conservationists supported, research projects undertaken, number of staff, hectares planted, unique plant and animal species, volunteer hours","Internal
Academic
Diversity
Area
Social",
69,Oceania,Gondwana Link,Australia,NO,NA,"https://gondwanalink.org/wp-content/uploads/2020/12/Gondwana-Link-Monitoring-Guide-Version-0.5.pdf

https://gondwanalink.org/what-we-do/restoring-habitat-health/

https://gondwanalink.org/about-us/",14500,2002,23,YES,"Our Vision
“Reconnected country across south-western Australia, from the wet forests in the south west corner to the dry woodlands and mallee bordering the Nullarbor Plain, in which ecosystem function and biodiversity are restored and maintained”.
Our core strategy has changed little since our inception in 2002. It is to implement a decentralised conservation approach built through ‘no-regrets’ actions that give tangible outcomes.
1. Articulate a compelling vision of the future, imagine and act for the best, transform landscapes rather than just manage threats (address causes not symptoms)
2. Minimal structure with maximum resources hitting the ground
3. Build momentum by establishing tangible and inspiring examples of what can be achieved
4. Establish support mechanisms to tackle key gaps and underpin expansion across the entire Link
5. Phased whole of Link roll-out focusing effort into strategic and effective actions","Habitat structure
Ecosystem
Diversity",NO,YES,"Monitoring guide -  suggested monitoring methods (2015)
Spatial analysis, land use mapping, fencing, use of vegetation and tenure datasets, counts of animals killed, survey for change in vegetation condition, water data, water analyses, changes in NDVI vegetation condition mapping, salinity mapping, tracks, scats, spotlighting and camera traps, Opportunist and structured site surveys using techniques including ‘drive by mapping, vegetation deaths on roadsides, fencelines, correlate with spraying activity, wind direction and wind speed, opportunistic sightings. 
NOT CLEAR when and where actually implemented","Fieldwork
Remote sensing
Wildlife tracking",YES,"Our achievements:
Amongst the many achievements is the fact that, at last count, over thirty main organisations have supported and been involved in achieving the Link. These are amongst their many exciting collective achievements:
	Strategically focused protection and restoration work is now underway in all the main habitat gaps along the 1,000 km long link.
	In those key habitat gaps, over 16,000 hectares of rural properties have been purchased to date, with additional large areas secured by covenant with existing landholders, and some 13,500 ha of marginal farmland restored back to habitat so far, much to a high ecological standard.
	Much improved and wider application of feral animal control programs on private property across key parts of the Link.
	Groups assisted to develop a Conservation Action Plan for each of the eight key sections of the Link, and support given on request to keep this planning process ongoing, so that strategies are revised based on monitoring and evaluation.
	The 16 million ha Great Western Woodlands named and recognised for its conservation values.
	In the Great Western Woodlands, the Ngadju Conservation Aboriginal Corporation is now well established with a Ranger base and Ranger Team managing their 4.4 million hectare Indigenous Protected Area.
	With the Noongar community there are now a range of programs operating which focus on cultural education, reconnecting with country, youth at risk, family healing, training and work in technical aspects of restoration.
	Over 17,00 are estimated passed through various camps and courses at the Nowanup property, and a Statement of Intent is in place to further develop Nowanup as a campus of Curtin University, focused on education ‘done Noongar way’.
	Over 80 scientific papers and management reports have been produced from aspects of the program.
	An ongoing mix of citizen science monitoring program now operate, increasing our knowledge of the region and monitoring the habitat value of restored areas and the effectiveness of various restoration approaches.
	The recent development of a comprehensive communications package to widen the support we receive and assist in the acceleration of on-ground works. This includes the feature film ‘Breathing Life into Boodja’ and 10 short films on permanent display in the WA Museum Boola Bardip.
	A wide range of supporters from near and far visiting, communicating about and supporting Gondwana Link, with a visitor program called ‘Heartland Journeys’ commenced focused on ensuring the ecological richness, restoration activity and cultural richness bring with them much needed social and economic benefits.
	A working alliance formed with our main peer group in eastern Australia and another in New Zealand (CALLANZ – Conservation Across Large Landscapes Australia New Zealand).
	An ambitious three year partnership with Great Eastern ranges, and funded by The Ian Potter Foundation, to accelerate sharing of what has been learnt in our programs, and support the emergence of additional connectivity efforts across Australia.
In short, our ambitious approach becoming well accepted, supported and well on the way to achieving its vision.","Area
Internal
Social
Academic",Annual report is from 2014-15
70,Oceania,Great Eastern Ranges,Australia,YES,This column contained email responses from the organisation. These have been removed for privacy reasons.,"https://ger.org.au/about/impact/

https://ger.org.au/wp-content/uploads/2023/09/GER_Strategic-Plan-on-a-Page_2023-2033_FINAL.pdf",NA,2007,18,YES,"Our vision: Well connected, resilient and thriving communities, landscapes and natural systems across 3,600km of eastern Australia.
Strategic Plan on a Page for 2023-2033:
LONG TERM GOALS
The Great Eastern Ranges initiative comprises a robust network of partners whose collective impacts match the scale of the planetary challenges we face.
We have supported the establishment of new connectivity initiatives in other priority regions across Australia.
Important landscapes and natural systems across the Great Eastern Ranges are better protected and connected. 
Our projects are delivering long-term, sustainable impacts across multiple landscapes in a rapidly changing climate. 
We have secured the funding, resources and capacity needed to serve as a flourishing and effective backbone organisation for connectivity conservation","Habitat structure
Knowledge sharing",MT,YES," Our science-informed monitoring and evaluation framework is used to track progress, assess the effectiveness of our efforts and guide future decision making, priority setting and direction.
",NA,YES,"Since being launched in 2007, the Great Eastern Ranges (GER) has grown to become one of the world’s largest connectivity conservation initiatives.
hectares of improved connectivity, native plants established, people engaged in conservation projects, private properties involved, threatened and regionally significant animal species supported, new properties involved in land for wildlife","Internal
Area
Species",
71,Oceania,South Endeavour Trust,Australia,NO,NA,https://www.southendeavour.com.au/about_us.html,160055,2007,18,YES,"Our primary objectives are three fold:
1. To make the greatest possible contribution to nature conservation that we can, which often means doing things that others cannot or will not do.  For example, we have recently purchased two small areas of very expensive farming land on the Atherton Tablelands for revegetation to complete an essential wildlife corridor that the local community has been working on for many years. This corridor is vital in providing a range of endemic small mammals the greatest possible chance of survival in the face of climate change.
 
2. To manage our conservation reserves as well as we practically can.  This means making good management decisions based on sound science and then carrying these decisions through on the ground, to make a real difference. Our major management focuses are: weed control, reducing feral animal numbers and using fire as a tool to maintain appropriate diversity and resilience.
 
3. To ensure that we build a sufficient capital base such that the annual income from that capital is sufficient to meet our management costs in perpetuity. This means that we are very focused on knowing and controlling our costs and that we have great regard for future management expenses in considering properties for purchase.  As a consequence, we tend to cluster our reserves within specific geographic areas to encourage efficiency in management and that we try to buy properties where the management requirements are known and, preferably, are limited.","Habitat structure
Other (financial)",M,NO,NA,NA,NO,NA,NA,"Area = total of each project: 
7000 , 18400, 68000, 132, 90, 80, 1957, 2535, 832, 79, 16000, 80, 1150, 18100, 24500, 62, 350, 150, 558"
